take_profit_pct,entry_step_pct,position_size_pct,max_entries,leverage,roi,total_pnl,win_rate,total_trades,trades_per_day,daily_pnl,max_trade_dd,max_balance_dd,max_duration_h,avg_entries,final_balance,commission,roi_dd_ratio
0.5,3.0,10.0,3,6,6.490364585872543,64.90364585872507,99.6845425867508,317,0.21727210418094586,0.044485021150599775,67.25481956656706,13.892153551710578,15599.0,1.252365930599369,1064.9036458587254,51.47572185239513,0.4671964329874087
1.0,4.0,10.0,5,2,6.070276500879754,60.7027650087971,99.37888198757764,161,0.11034955448937629,0.04160573338505627,66.34338537519129,20.768681569410365,14808.0,1.6770186335403727,1060.7027650087975,36.58472097084382,0.29228030101922803
1.0,4.0,10.0,5,4,6.070276500879754,60.7027650087971,99.37888198757764,161,0.11034955448937629,0.04160573338505627,66.34338537519129,20.768681569410365,14808.0,1.6770186335403727,1060.7027650087975,36.58472097084382,0.29228030101922803
1.0,4.0,10.0,5,6,6.070276500879754,60.7027650087971,99.37888198757764,161,0.11034955448937629,0.04160573338505627,66.34338537519129,20.768681569410365,14808.0,1.6770186335403727,1060.7027650087975,36.58472097084382,0.29228030101922803
1.5,4.0,3.0,7,2,5.899838335405389,58.99838335405366,99.21875,128,0.08773132282385196,0.040437548563436364,65.90958507807065,10.119611196892357,14784.0,2.0703125,1058.9983833540539,10.118261624921226,0.5830103766454167
1.5,4.0,3.0,7,4,5.899838335405389,58.99838335405366,99.21875,128,0.08773132282385196,0.040437548563436364,65.90958507807065,10.119611196892357,14784.0,2.0703125,1058.9983833540539,10.118261624921226,0.5830103766454167
1.5,4.0,3.0,7,6,5.899838335405389,58.99838335405366,99.21875,128,0.08773132282385196,0.040437548563436364,65.90958507807065,10.119611196892357,14784.0,2.0703125,1058.9983833540539,10.118261624921226,0.5830103766454167
0.7,3.0,10.0,3,2,5.85579896016875,58.557989601686906,99.47368421052632,190,0.13022618231665525,0.04013570226297938,72.77711686722387,13.383298511773942,16642.0,1.3210526315789475,1058.5579896016875,32.46161279368193,0.43754526995098536
0.7,3.0,10.0,3,4,5.85579896016875,58.557989601686906,99.47368421052632,190,0.13022618231665525,0.04013570226297938,72.77711686722387,13.383298511773942,16642.0,1.3210526315789475,1058.5579896016875,32.46161279368193,0.43754526995098536
0.7,3.0,10.0,3,6,5.85579896016875,58.557989601686906,99.47368421052632,190,0.13022618231665525,0.04013570226297938,72.77711686722387,13.383298511773942,16642.0,1.3210526315789475,1058.5579896016875,32.46161279368193,0.43754526995098536
